Product,Location,Customer,Year,Items,Jan,Feb,Mar,Apr,May,Jun,July,Aug,Sep,Oct,Nov,Dec
28,1,C_10001,FY18,Price,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0
28,1,C_10001,FY18,Raw material,60000.0,60000.0,60000.0,60000.0,60000.0,60000.0,60000.0,60000.0,60000.0,60000.0,60000.0,60000.0
28,1,C_10001,FY18,package material,20000.0,20000.0,20000.0,20000.0,20000.0,20000.0,20000.0,20000.0,20000.0,20000.0,20000.0,20000.0
28,1,C_10001,FY18,direct cost,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0
28,1,C_10001,FY18,Volume,2614.0,1411.0,165.0,261.0,1239.0,1810.0,2630.0,637.0,2535.0,1184.0,2769.0,2829.0
55,1,C_10002,FY18,Price,15000.0,15000.0,15000.0,15000.0,15000.0,15000.0,15000.0,15000.0,15000.0,15000.0,15000.0,15000.0
55,1,C_10002,FY18,Raw material,70000.0,70000.0,70000.0,70000.0,70000.0,70000.0,70000.0,70000.0,70000.0,70000.0,70000.0,70000.0
55,1,C_10002,FY18,package material,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0
55,1,C_10002,FY18,direct cost,9500.0,9500.0,9500.0,9500.0,9500.0,9500.0,9500.0,9500.0,9500.0,9500.0,9500.0,9500.0
55,1,C_10002,FY18,Volume,3897.0,3674.0,2707.0,3579.0,3643.0,2963.0,3537.0,3205.0,3917.0,2949.0,2040.0,3102.0
83,2,C_10003,FY18,Price,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0
83,2,C_10003,FY18,Raw material,70000.0,70000.0,70000.0,70000.0,70000.0,70000.0,70000.0,70000.0,70000.0,70000.0,70000.0,70000.0
83,2,C_10003,FY18,package material,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0
83,2,C_10003,FY18,direct cost,5500.0,5500.0,5500.0,5500.0,5500.0,5500.0,5500.0,5500.0,5500.0,5500.0,5500.0,5500.0
83,2,C_10003,FY18,Volume,3684.0,3610.0,2389.0,3615.0,3393.0,2294.0,3661.0,2966.0,2632.0,2426.0,2472.0,3361.0
96,3,C_10004,FY18,Price,20000.0,20000.0,20000.0,20000.0,20000.0,20000.0,20000.0,20000.0,20000.0,20000.0,20000.0,20000.0
96,3,C_10004,FY18,Raw material,70000.0,70000.0,70000.0,70000.0,70000.0,70000.0,70000.0,70000.0,70000.0,70000.0,70000.0,70000.0
96,3,C_10004,FY18,package material,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0
96,3,C_10004,FY18,direct cost,5500.0,5500.0,5500.0,5500.0,5500.0,5500.0,5500.0,5500.0,5500.0,5500.0,5500.0,5500.0
96,3,C_10004,FY18,Volume,3684.0,3610.0,2389.0,3615.0,3393.0,2294.0,3661.0,2966.0,2632.0,2426.0,2472.0,3361.0
49,3,C_10005,FY18,Price,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0
49,3,C_10005,FY18,Raw material,60000.0,60000.0,60000.0,60000.0,60000.0,60000.0,60000.0,60000.0,60000.0,60000.0,60000.0,60000.0
49,3,C_10005,FY18,package material,20000.0,20000.0,20000.0,20000.0,20000.0,20000.0,20000.0,20000.0,20000.0,20000.0,20000.0,20000.0
49,3,C_10005,FY18,direct cost,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0
49,3,C_10005,FY18,Volume,2614.0,1411.0,165.0,261.0,1239.0,1810.0,2630.0,637.0,2535.0,1184.0,2769.0,2829.0
70,4,C_10005,FY18,Price,20100.0,20100.0,20100.0,20100.0,20100.0,20100.0,20100.0,20100.0,20100.0,20100.0,20100.0,20100.0
70,4,C_10005,FY18,Raw material,71000.0,71000.0,71000.0,71000.0,71000.0,71000.0,71000.0,71000.0,71000.0,71000.0,71000.0,71000.0
70,4,C_10005,FY18,package material,11000.0,11000.0,11000.0,11000.0,11000.0,11000.0,11000.0,11000.0,11000.0,11000.0,11000.0,11000.0
70,4,C_10005,FY18,direct cost,6500.0,6500.0,6500.0,6500.0,6500.0,6500.0,6500.0,6500.0,6500.0,6500.0,6500.0,6500.0
70,4,C_10005,FY18,Volume,4684.0,4610.0,3389.0,4615.0,4393.0,3294.0,4661.0,3966.0,3632.0,3426.0,3472.0,4361.0
1,5,C_10007,FY18,Price,10500.0,10500.0,10500.0,10500.0,10500.0,10500.0,10500.0,10500.0,10500.0,10500.0,10500.0,10500.0
1,5,C_10007,FY18,Raw material,63000.0,63000.0,63000.0,63000.0,63000.0,63000.0,63000.0,63000.0,63000.0,63000.0,63000.0,63000.0
1,5,C_10007,FY18,package material,21000.0,21000.0,21000.0,21000.0,21000.0,21000.0,21000.0,21000.0,21000.0,21000.0,21000.0,21000.0
1,5,C_10007,FY18,direct cost,10500.0,10500.0,10500.0,10500.0,10500.0,10500.0,10500.0,10500.0,10500.0,10500.0,10500.0,10500.0
1,5,C_10007,FY18,Volume,2744.7000000000003,1481.55,173.25,274.05,1300.95,1900.5,2761.5,668.85,2661.75,1243.2,2907.4500000000003,2970.4500000000003
12,6,C_10008,FY18,Price,16500.0,16500.0,16500.0,16500.0,16500.0,16500.0,16500.0,16500.0,16500.0,16500.0,16500.0,16500.0
12,6,C_10008,FY18,Raw material,77000.0,77000.0,77000.0,77000.0,77000.0,77000.0,77000.0,77000.0,77000.0,77000.0,77000.0,77000.0
12,6,C_10008,FY18,package material,11000.0,11000.0,11000.0,11000.0,11000.0,11000.0,11000.0,11000.0,11000.0,11000.0,11000.0,11000.0
12,6,C_10008,FY18,direct cost,10450.0,10450.0,10450.0,10450.0,10450.0,10450.0,10450.0,10450.0,10450.0,10450.0,10450.0,10450.0
12,6,C_10008,FY18,Volume,4286.700000000001,4041.4000000000005,2977.7000000000003,3936.9,4007.3,3259.3,3890.7000000000003,3525.5000000000005,4308.700000000001,3243.9,2244.0,3412.2000000000003
104,7,C_10011,FY18,Price,11299.999999999998,11299.999999999998,11299.999999999998,11299.999999999998,11299.999999999998,11299.999999999998,11299.999999999998,11299.999999999998,11299.999999999998,11299.999999999998,11299.999999999998,11299.999999999998
104,7,C_10011,FY18,Raw material,79099.99999999999,79099.99999999999,79099.99999999999,79099.99999999999,79099.99999999999,79099.99999999999,79099.99999999999,79099.99999999999,79099.99999999999,79099.99999999999,79099.99999999999,79099.99999999999
104,7,C_10011,FY18,package material,11299.999999999998,11299.999999999998,11299.999999999998,11299.999999999998,11299.999999999998,11299.999999999998,11299.999999999998,11299.999999999998,11299.999999999998,11299.999999999998,11299.999999999998,11299.999999999998
104,7,C_10011,FY18,direct cost,6214.999999999999,6214.999999999999,6214.999999999999,6214.999999999999,6214.999999999999,6214.999999999999,6214.999999999999,6214.999999999999,6214.999999999999,6214.999999999999,6214.999999999999,6214.999999999999
104,7,C_10011,FY18,Volume,4162.919999999999,4079.2999999999997,2699.5699999999997,4084.95,3834.0899999999997,2592.22,4136.929999999999,3351.5799999999995,2974.16,2741.3799999999997,2793.3599999999997,3797.93
5,2,C_10015,FY18,Price,10847.999999999998,10847.999999999998,10847.999999999998,10847.999999999998,10847.999999999998,10847.999999999998,10847.999999999998,10847.999999999998,10847.999999999998,10847.999999999998,10847.999999999998,10847.999999999998
5,2,C_10015,FY18,Raw material,75935.99999999999,75935.99999999999,75935.99999999999,75935.99999999999,75935.99999999999,75935.99999999999,75935.99999999999,75935.99999999999,75935.99999999999,75935.99999999999,75935.99999999999,75935.99999999999
5,2,C_10015,FY18,package material,10847.999999999998,10847.999999999998,10847.999999999998,10847.999999999998,10847.999999999998,10847.999999999998,10847.999999999998,10847.999999999998,10847.999999999998,10847.999999999998,10847.999999999998,10847.999999999998
5,2,C_10015,FY18,direct cost,5966.399999999999,5966.399999999999,5966.399999999999,5966.399999999999,5966.399999999999,5966.399999999999,5966.399999999999,5966.399999999999,5966.399999999999,5966.399999999999,5966.399999999999,5966.399999999999
5,2,C_10015,FY18,Volume,3996.403199999999,3916.1279999999997,2591.5871999999995,3921.5519999999997,3680.7263999999996,2488.5312,3971.452799999999,3217.5167999999994,2855.1935999999996,2631.7247999999995,2681.6255999999994,3646.0127999999995
14,5,C_10115,FY18,Price,7593.5999999999985,7593.5999999999985,7593.5999999999985,7593.5999999999985,7593.5999999999985,7593.5999999999985,7593.5999999999985,7593.5999999999985,7593.5999999999985,7593.5999999999985,7593.5999999999985,7593.5999999999985
14,5,C_10115,FY18,Raw material,53155.19999999999,53155.19999999999,53155.19999999999,53155.19999999999,53155.19999999999,53155.19999999999,53155.19999999999,53155.19999999999,53155.19999999999,53155.19999999999,53155.19999999999,53155.19999999999
14,5,C_10115,FY18,package material,7593.5999999999985,7593.5999999999985,7593.5999999999985,7593.5999999999985,7593.5999999999985,7593.5999999999985,7593.5999999999985,7593.5999999999985,7593.5999999999985,7593.5999999999985,7593.5999999999985,7593.5999999999985
14,5,C_10115,FY18,direct cost,4176.479999999999,4176.479999999999,4176.479999999999,4176.479999999999,4176.479999999999,4176.479999999999,4176.479999999999,4176.479999999999,4176.479999999999,4176.479999999999,4176.479999999999,4176.479999999999
14,5,C_10115,FY18,Volume,2797.482239999999,2741.2895999999996,1814.1110399999995,2745.0863999999997,2576.5084799999995,1741.97184,2780.016959999999,2252.2617599999994,1998.6355199999996,1842.2073599999994,1877.1379199999994,2552.2089599999995
91,1,C_10117,FY18,Price,8352.96,8352.96,8352.96,8352.96,8352.96,8352.96,8352.96,8352.96,8352.96,8352.96,8352.96,8352.96
91,1,C_10117,FY18,Raw material,58470.719999999994,58470.719999999994,58470.719999999994,58470.719999999994,58470.719999999994,58470.719999999994,58470.719999999994,58470.719999999994,58470.719999999994,58470.719999999994,58470.719999999994,58470.719999999994
91,1,C_10117,FY18,package material,8352.96,8352.96,8352.96,8352.96,8352.96,8352.96,8352.96,8352.96,8352.96,8352.96,8352.96,8352.96
91,1,C_10117,FY18,direct cost,4594.127999999999,4594.127999999999,4594.127999999999,4594.127999999999,4594.127999999999,4594.127999999999,4594.127999999999,4594.127999999999,4594.127999999999,4594.127999999999,4594.127999999999,4594.127999999999
91,1,C_10117,FY18,Volume,3077.230463999999,3015.4185599999996,1995.5221439999996,3019.5950399999997,2834.1593279999997,1916.169024,3058.0186559999993,2477.4879359999995,2198.4990719999996,2026.4280959999996,2064.8517119999997,2807.4298559999997
