Product,Location,Customer,Year,Items,Jan,Feb,Mar,Apr,May,Jun,July,Aug,Sep,Oct,Nov,Dec
28,1,C_10001,FY18,Price,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000
28,1,C_10001,FY18,Raw material,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000
28,1,C_10001,FY18,package material,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000
28,1,C_10001,FY18,direct cost,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000
28,1,C_10001,FY18,Volume,2614,1411,165,261,1239,1810,2630,637,2535,1184,2769,2829
55,1,C_10002,FY18,Price,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000
55,1,C_10002,FY18,Raw material,70000,70000,70000,70000,70000,70000,70000,70000,70000,70000,70000,70000
55,1,C_10002,FY18,package material,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000
55,1,C_10002,FY18,direct cost,9500,9500,9500,9500,9500,9500,9500,9500,9500,9500,9500,9500
55,1,C_10002,FY18,Volume,3897,3674,2707,3579,3643,2963,3537,3205,3917,2949,2040,3102
83,2,C_10003,FY18,Price,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000
83,2,C_10003,FY18,Raw material,70000,70000,70000,70000,70000,70000,70000,70000,70000,70000,70000,70000
83,2,C_10003,FY18,package material,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000
83,2,C_10003,FY18,direct cost,5500,5500,5500,5500,5500,5500,5500,5500,5500,5500,5500,5500
83,2,C_10003,FY18,Volume,3684,3610,2389,3615,3393,2294,3661,2966,2632,2426,2472,3361
96,3,C_10004,FY18,Price,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000
96,3,C_10004,FY18,Raw material,70000,70000,70000,70000,70000,70000,70000,70000,70000,70000,70000,70000
96,3,C_10004,FY18,package material,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000
96,3,C_10004,FY18,direct cost,5500,5500,5500,5500,5500,5500,5500,5500,5500,5500,5500,5500
96,3,C_10004,FY18,Volume,3684,3610,2389,3615,3393,2294,3661,2966,2632,2426,2472,3361
49,3,C_10005,FY18,Price,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000
49,3,C_10005,FY18,Raw material,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000
49,3,C_10005,FY18,package material,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000
49,3,C_10005,FY18,direct cost,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000
49,3,C_10005,FY18,Volume,2614,1411,165,261,1239,1810,2630,637,2535,1184,2769,2829
70,4,C_10005,FY18,Price,20100,20100,20100,20100,20100,20100,20100,20100,20100,20100,20100,20100
70,4,C_10005,FY18,Raw material,71000,71000,71000,71000,71000,71000,71000,71000,71000,71000,71000,71000
70,4,C_10005,FY18,package material,11000,11000,11000,11000,11000,11000,11000,11000,11000,11000,11000,11000
70,4,C_10005,FY18,direct cost,6500,6500,6500,6500,6500,6500,6500,6500,6500,6500,6500,6500
70,4,C_10005,FY18,Volume,4684,4610,3389,4615,4393,3294,4661,3966,3632,3426,3472,4361
1,5,C_10007,FY18,Price,10500,10500,10500,10500,10500,10500,10500,10500,10500,10500,10500,10500
