Product Name,Region,Customer,Year,Items,Jan,Feb,Mar,Apr,May,Jun,July,Aug,Sep,Oct,Nov,Dec
BP_A9MN,USA & Canada,C_10001,FY18,Price,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0
BP_A9MN,USA & Canada,C_10001,FY18,Raw material,60000.0,60000.0,60000.0,60000.0,60000.0,60000.0,60000.0,60000.0,60000.0,60000.0,60000.0,60000.0
BP_A9MN,USA & Canada,C_10001,FY18,package material,20000.0,20000.0,20000.0,20000.0,20000.0,20000.0,20000.0,20000.0,20000.0,20000.0,20000.0,20000.0
BP_A9MN,USA & Canada,C_10001,FY18,direct cost,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0
BP_A9MN,USA & Canada,C_10001,FY18,Volume,2614.0,1411.0,165.0,261.0,1239.0,1810.0,2630.0,637.0,2535.0,1184.0,2769.0,2829.0
BP_A3E7,USA & Canada,C_10002,FY18,Price,15000.0,15000.0,15000.0,15000.0,15000.0,15000.0,15000.0,15000.0,15000.0,15000.0,15000.0,15000.0
BP_A3E7,USA & Canada,C_10002,FY18,Raw material,70000.0,70000.0,70000.0,70000.0,70000.0,70000.0,70000.0,70000.0,70000.0,70000.0,70000.0,70000.0
BP_A3E7,USA & Canada,C_10002,FY18,package material,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0
BP_A3E7,USA & Canada,C_10002,FY18,direct cost,9500.0,9500.0,9500.0,9500.0,9500.0,9500.0,9500.0,9500.0,9500.0,9500.0,9500.0,9500.0
BP_A3E7,USA & Canada,C_10002,FY18,Volume,3897.0,3674.0,2707.0,3579.0,3643.0,2963.0,3537.0,3205.0,3917.0,2949.0,2040.0,3102.0
BP_A44N,USA & Canada,C_10003,FY18,Price,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0
BP_A44N,USA & Canada,C_10003,FY18,Raw material,70000.0,70000.0,70000.0,70000.0,70000.0,70000.0,70000.0,70000.0,70000.0,70000.0,70000.0,70000.0
BP_A44N,USA & Canada,C_10003,FY18,package material,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0
BP_A44N,USA & Canada,C_10003,FY18,direct cost,5500.0,5500.0,5500.0,5500.0,5500.0,5500.0,5500.0,5500.0,5500.0,5500.0,5500.0,5500.0
BP_A44N,USA & Canada,C_10003,FY18,Volume,3684.0,3610.0,2389.0,3615.0,3393.0,2294.0,3661.0,2966.0,2632.0,2426.0,2472.0,3361.0
BP_ABXT,APAC,C_10004,FY18,Price,20000.0,20000.0,20000.0,20000.0,20000.0,20000.0,20000.0,20000.0,20000.0,20000.0,20000.0,20000.0
BP_ABXT,APAC,C_10004,FY18,Raw material,70000.0,70000.0,70000.0,70000.0,70000.0,70000.0,70000.0,70000.0,70000.0,70000.0,70000.0,70000.0
BP_ABXT,APAC,C_10004,FY18,package material,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0
BP_ABXT,APAC,C_10004,FY18,direct cost,5500.0,5500.0,5500.0,5500.0,5500.0,5500.0,5500.0,5500.0,5500.0,5500.0,5500.0,5500.0
BP_ABXT,APAC,C_10004,FY18,Volume,3684.0,3610.0,2389.0,3615.0,3393.0,2294.0,3661.0,2966.0,2632.0,2426.0,2472.0,3361.0
BP_A1XV,APAC,C_10005,FY18,Price,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0
BP_A1XV,APAC,C_10005,FY18,Raw material,60000.0,60000.0,60000.0,60000.0,60000.0,60000.0,60000.0,60000.0,60000.0,60000.0,60000.0,60000.0
BP_A1XV,APAC,C_10005,FY18,package material,20000.0,20000.0,20000.0,20000.0,20000.0,20000.0,20000.0,20000.0,20000.0,20000.0,20000.0,20000.0
BP_A1XV,APAC,C_10005,FY18,direct cost,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0
BP_A1XV,APAC,C_10005,FY18,Volume,2614.0,1411.0,165.0,261.0,1239.0,1810.0,2630.0,637.0,2535.0,1184.0,2769.0,2829.0
