Product Type,Brand Name,Trade Mark,Product Name,Product ID
Sparkling,BR_001,TM_05,BP_0001,1
Sparkling,BR_001,TM_05,BP_0051,2
Sparkling,BR_001,TM_05,BP_0216,3
Sparkling,BR_001,TM_05,BP_0280,4
Sparkling,BR_001,TM_05,BP_0281,5
Sparkling,BR_001,TM_05,BP_0505,6
Sparkling,BR_001,TM_05,BP_6085,7
Sparkling,BR_001,TM_05,BP_A06T,8
Sparkling,BR_001,TM_05,BP_A073,9
Water,BR_001,TM_05,BP_A10M,10
Water,BR_001,TM_05,BP_A12F,11
Water,BR_001,TM_05,BP_A1AU,12
Water,BR_001,TM_05,BP_A1AV,13
Water,BR_001,TM_05,BP_A1ND,14
Water,BR_001,TM_05,BP_A1NE,15
Water,BR_001,TM_05,BP_A1NF,16
Water,BR_001,TM_05,BP_A1V3,17
Water,BR_001,TM_05,BP_A1ZA,18
Water,BR_001,TM_05,BP_A275,19
Water,BR_001,TM_05,BP_A2B2,20
Sparkling,BR_001,TM_05,BP_A3FA,21
Sparkling,BR_001,TM_05,BP_A42J,22
Sparkling,BR_001,TM_05,BP_A42K,23
Sparkling,BR_001,TM_05,BP_A48G,24
Sparkling,BR_001,TM_05,BP_A5W7,25
Sparkling,BR_001,TM_05,BP_A6ZW,26
Sparkling,BR_001,TM_05,BP_A9CM,27
Sparkling,BR_001,TM_05,BP_A9MN,28
Sparkling,BR_001,TM_05,BP_AAD1,29
Sparkling,BR_001,TM_05,BP_ABFX,30
Sparkling,BR_001,TM_05,BP_ABFY,31
Water,BR_001,TM_05,BP_ABZJ,32
Water,BR_001,TM_05,BP_AC2U,33
Water,BR_001,TM_05,BP_AC3H,34
Water,BR_001,TM_05,BP_AC5O,35
Water,BR_002,TM_05,BP_0002,36
Water,BR_002,TM_05,BP_0265,37
Water,BR_002,TM_05,BP_0483,38
Water,BR_002,TM_05,BP_0503,39
Water,BR_002,TM_05,BP_0506,40
Water,BR_002,TM_05,BP_1250,41
Water,BR_002,TM_05,BP_1253,42
Water,BR_002,TM_05,BP_5464,43
Tea,BR_002,TM_05,BP_5951,44
Tea,BR_002,TM_05,BP_6691,45
Tea,BR_002,TM_05,BP_7933,46
Tea,BR_002,TM_05,BP_A1NG,47
Tea,BR_002,TM_05,BP_A1NH,48
Tea,BR_002,TM_05,BP_A1XV,49
Tea,BR_002,TM_05,BP_A1Y2,50
Tea,BR_002,TM_05,BP_A1YR,51
Tea,BR_002,TM_05,BP_A1ZB,52
Tea,BR_002,TM_05,BP_A26F,53
Tea,BR_002,TM_05,BP_A2B3,54
Tea,BR_002,TM_05,BP_A3E7,55
Tea,BR_002,TM_05,BP_A48H,56
Tea,BR_002,TM_05,BP_A48I,57
Sparkling,BR_002,TM_05,BP_A8ZG,58
Sparkling,BR_002,TM_05,BP_A9BX,59
Sparkling,BR_002,TM_05,BP_AADT,60
Sparkling,BR_002,TM_05,BP_ABK7,61
Sparkling,BR_002,TM_05,BP_ABKB,62
Sparkling,BR_002,TM_05,BP_ABPT,63
Sparkling,BR_002,TM_05,BP_ABPU,64
Sparkling,BR_002,TM_05,BP_ABTK,65
Sparkling,BR_002,TM_05,BP_ABU3,66
Sparkling,BR_002,TM_05,BP_ABU4,67
Sparkling,BR_002,TM_05,BP_ABUE,68
Sparkling,BR_002,TM_05,BP_AC78,69
Sparkling,BR_002,TM_05,BP_AC79,70
Sparkling,BR_B05,TM_09,BP_A28M,71
Sparkling,BR_B05,TM_09,BP_A28N,72
Sparkling,BR_B05,TM_09,BP_A7TY,73
Sparkling,BR_B05,TM_09,BP_A7TZ,74
Sparkling,BR_B06,TM_09,BP_A28O,75
Sparkling,BR_B06,TM_09,BP_A28P,76
Sparkling,BR_B06,TM_09,BP_A7T6,77
Sparkling,BR_B06,TM_09,BP_A7T7,78
Sparkling,BR_BOD,TM_11,BP_A1VS,79
Sparkling,BR_BOD,TM_11,BP_A22B,80
Sparkling,BR_BOD,TM_11,BP_A3A5,81
Sparkling,BR_BOD,TM_11,BP_A44M,82
Sparkling,BR_BOD,TM_11,BP_A44N,83
Sparkling,BR_BOD,TM_11,BP_A48J,84
Sparkling,BR_BOD,TM_11,BP_A56E,85
Sparkling,BR_BOD,TM_11,BP_A6QB,86
Sparkling,BR_BOD,TM_11,BP_A6QC,87
Sparkling,BR_BOD,TM_11,BP_A6QD,88
Sparkling,BR_BOD,TM_11,BP_A6Z1,89
Sparkling,BR_BOD,TM_11,BP_A8WF,90
Water,BR_BOD,TM_11,BP_AAHZ,91
Water,BR_BOD,TM_11,BP_AB6G,92
Water,BR_BOD,TM_11,BP_ABBA,93
Water,BR_BOD,TM_11,BP_ABCW,94
Water,BR_BOD,TM_11,BP_ABQL,95
Water,BR_BOD,TM_11,BP_ABXT,96
Water,BR_BOD,TM_11,BP_AC2T,97
Water,BR_BOD,TM_11,BP_AC37,98
Water,BR_BOD,TM_11,BP_AC7Z,99
Water,BR_BOD,TM_11,BP_AC8Y,100
Water,BR_BOD,TM_11,BP_AC9E,101
Water,BR_BOI,TM_11,BP_A1XP,102
Water,BR_BOI,TM_11,BP_A7S1,103
Water,BR_BOI,TM_11,BP_A7S2,104
Water,BR_CIR,TM_11,BP_A8S1,105
Water,BR_CIR,TM_11,BP_A9HX,106
Water,BR_CIR,TM_11,BP_AAQI,107
Water,BR_CIR,TM_11,BP_AAYK,108
Water,BR_CIR,TM_11,BP_ABT5,109
